	CHRF_R_02_056_35	CHRF_R_02_056_02	s01_016_31	PID_1316_01-038-03	PID_1316_02-115-31	s01_038_31	PID_1316_03-012-01	CHRF_01_056_02	PID_1316_03-038-01	PID_1316_03-016-01	CHRF_03_063_01	PID_1316_02-111-31	PID_1316_02-029-02	PID_1316_01-056-01	PID_1316_01-115-01	PID_1316_01-046-33	CHRF_02_061_02	PID_1316_01-111-33	PID_1316_R-02-070-35	PID_1316_R-02-070-02	A01_008_01	PID_1316_02-012-01	PID_1316_01-046-01	PID_1316_02-093-02	PID_1316_02-038-01	CHRF_02_063_01	s01_016_03	PID_1316_02-111-03	s01_023_35	PID_1316_02-070-35	PID_1316_03-038-03	PID_1316_03-016-03	PID_1316_02-111-33	PID_1316_01-012-01	A02_008_01	PID_1316_01-093-02	PID_1316_03-111-01	A01_007_35	PID_1316_01-111-03	PID_1316_03-115-01	PID_1316_01-070-35	PID_1316_01-070-02	PID_1316_02-038-03	PID_1316_02-016-03	PID_1316_01-061-01	PID_1316_01-115-31	CHRF_02_056_35	PID_1316_01-111-31	A01_008_03	PID_1316_01-056-31	PID_1316_03-061-03	PID_1316_02-111-01	A01_048_01	s01_038_01	PID_1316_02-115-01	s01_016_01	CHRF_02_056_01	PID_1316_01-061-02	PID_1316_D-01-111-01	PID_1316_01-115-32	CHRF_R_02_056_31	PID_1316_01-039-33	PID_1316_02-115-02	s01_038_35	PID_1316_01-034-31	PID_1316_02-111-02	s01_023_03	PID_1316_01-016-02	PID_1316_01-039-01	PID_1316_01-038-02	PID_1316_01-093-01	s01_023_31	PID_1316_01-012-02	s01_029_01	s01_029_36	PID_1316_03-063-03	PID_1316_01-070-01	PID_1316_01-063-01	CHRF_02_063_32	CHRF_02_063_02	CHRF_02_063_35	A01_007_31	PID_1316_02-093-01	PID_1316_01-063-31	PID_1316_02-038-02	s02_007_01	PID_1316_02-012-02	CHRF_R_03_056_01	CHRF_03_061_01	PID_1316_02-070-01	s01_023_01	PID_1316_01-012-32	PID_1316_01-039-31	PID_1316_01-093-31	s01_008_02	CHRF_01_063_32	s01_020_01	PID_1316_03-093-01	PID_1316_01-034-01	PID_1316_R-03-070-01	PID_1316_01-039-03	CHRF_02_061_01	PID_1316_03-070-01	PID_1316_01-063-03	PID_1316_01-115-02	PID_1316_01-111-02	PID_1316_02-029-36	PID_1316_02-029-01	PID_1316_01-056-35
colistin	20.46540173620446	0.0	0.0	0.0	55.54739781310733	0.0	610.3329113232884	0.0	0.0	0.0	0.0	0.0	0.0	51.94883414906899	0.0	0.0	0.0	0.0	5.330769673797197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.845647627739154	0.0	0.0	0.0	21.520029070730928	0.0	0.0	0.0	0	0.0	21.25441732547877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	9.333049459300979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	37.21484277905845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.45323581450735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.315742540154112	0.0	0.0	7.771508601091887	0.0	0.0	0.0	0.0	0.0	0.0
tetracycline	42714.6045674249	292645.70036905305	232935.4409709288	172478.40556393095	4299.1618594437105	24442.38396601393	20742.319370275083	63414.92227040786	119415.8082649437	1941110.4746960467	40864.68327818589	27396.029266177185	2459.408938138938	76900.61324283181	98498.37305453798	54253.59783635638	3470.260618752228	30347.033529126606	27305.63722809663	381.8658845872112	29530.616640753055	11411.726206629986	161840.1750409286	31547.300161510713	32374.236507199843	8443.892819897925	103925.92806961418	4890.891684611804	139529.14095308149	25894.461896375364	103013.92686377242	15102.451684880816	8218.289726821851	31773.196330589773	0	15083.581160132015	247632.28118037755	16003.077399534634	6510.852677896174	12000.925397911542	24016.166671502804	26635.532323037678	76729.67974777213	39444.40664066638	43446.8037451209	40709.786983141574	23901.238013115802	27828.373623909793	81381.26197632425	39432.1090081705	242043.85131541666	26265.65253130081	0	142534.91853528246	80545.50592624495	65981.64973231827	20290.35854948971	532.7653883487721	62117.64388869473	50254.297440969436	21481.812512724762	67885.53896752284	47127.306757429404	18934.503487034937	135893.57386560354	10741.531674315322	0	51588.64022508618	200885.21959304527	106826.97682940747	37485.73863594153	0	2941.98140633235	26222.688708286816	19912.930614689838	427209.44487242075	162242.24336387755	90783.24155316866	86583.67725256519	54744.19183392594	3332.4659800810614	0	74128.14673209723	2272732.977696821	16212.209878766032	20997.78300292422	101027.46605834102	1275.3603551849442	215593.4441751084	1098.3339297216467	222693.34555529332	78186.56638928538	39387.35984012207	85994.19772260236	1267.1183414749971	87840.35531187343	198257.89986812577	207017.01096802583	192450.70670216755	45328.700039768446	84716.44222628138	45757.232469768074	62245.0648560786	98392.75805181012	17017.933377255056	30662.236135920848	33403.26383691955	12575.760218019586	61516.3990087353
quinolone	45.79918490434994	236.2344043535609	472.7999362847145	6.8270141743996815	386.90924412158324	24.850148633709008	71.58090970118319	10352.72377161362	767.6443573554266	6.83065025011897	0.0	6.205219762809088	2505.1866096814683	6.40250744284748	55.68937769267001	5420.19473060832	67.37489099490787	4931.234655889791	249.8615018290308	11.643536847652747	13.283256100752597	0.0	20.68621688321139	7.363041590242213	24.837003134830596	0.0	3.354342283770662	66.69386478714699	0.0	3.3905130474841965	341.5090285324913	0.0	0.0	22.92511735949676	0	2760.068410277275	122.7983793897538	0.0	282.08068190337974	294.5012095762478	5.136496434408543	0.0	275.2213277099605	969.2704013613583	28.899509505276075	11988.035053185464	0.0	51.916767089463335	5.544549987039485	563.498110999168	0.0	10856.576784373057	0	9.24609558235097	140.19950262167265	101.10723930940017	581.9475881683408	5471.5434466523	0.0	846.4379720663092	0.0	584.5743451342526	480.09584834676474	0.0	668.5835263721134	90.17790859789343	0	0.0	0.0	5530.080411424113	4304.636672489443	0	0.0	5.36645848280466	0.0	12.788921727447557	6.48400651843558	0.0	170.47238911265848	0.0	0.0	0	20222.664419312798	1.9371034969487269	49.78746761229769	1319.5188698675609	3665.2063570691116	2417.2976876669595	201.44672034161204	484.8349166597234	12.492154779218302	2409.839640699507	8.674599386252964	242.97383430868067	1581.1079860930822	0.0	5.942001266501918	30.938210506009835	0.0	132.98838553929164	23.378526206486253	884.3211566389364	1.858404230695886	0.0	63.7587427012	3032.232678545527	4.706168930945724	0.0	0.0
disinfectant	10560.397493261666	151.4660899847734	1316.7513174577803	3098.051155141781	2288.4177836257127	159.37034893743206	878.6032111462074	2898.678533301338	821.5655428965383	5803.007249349766	25331.526351120287	2290.706691575315	9409.616750070618	314.9350859002914	126.31511426144422	14100.091942017325	4757.452000227776	8306.517906296265	80602.31453360127	3244.033409429373	286.6438852207731	237.77752203484297	1828.8786039260967	1770.0226301747182	17378.39882330308	0.0	576.6531051055655	4465.434668911564	268.8031419314998	0.0	2252.332812826958	22.789662536146682	0.0	3.58783435405068	0	221316.50910121368	3252.97687186906	0.0	242.31321474466105	3301.5936519569314	84.80726081762253	35518.54905101716	6650.911001588849	34065.94301392302	406.7367860579108	29.099486583406847	0.0	13644.329064845992	138.05295079857945	729.3687001516697	3994.0584262988946	39444.417754642796	0	5233.707466805433	129770.27024270821	447.1811165771635	23589.272058134804	209970.79980331135	4.24469990321872	1362.9343007489276	0.0	131.2600486427001	8018.501886633441	0.0	1103.9137755031802	18715.73469477259	0	104905.68446021764	373.7799366408672	57481.098425084485	1536.2424480125408	0	34556.450100483744	22994.780981396896	9.468946717072143	868.7709507598618	21.70166769503636	573.6685772071863	10333.125688416594	16568.273443494054	0.0	0	303338.44560778874	13.339959520507723	370.4636357076446	15326.94505858315	3841.8420391405907	5576.984992956465	9157.878205450208	17104.113370059134	90.78427518548862	2103.269232755173	122.16015062260044	810.9539349619771	71653.99251363633	0.0	0.0	380.8914653982592	35.36083231985191	7283.173115091048	3659.8557609455206	31874.760628897162	25.992545659057328	180.66364800269457	139354.7419306225	25284.344704594976	139.00628601589685	369.9292895992881	0.0
fusidicacid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	2.0599421183730633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	116.58653420554025	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6427805472906118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	286.84225312252437	0.0	0.0	0.0
glycopeptide	0.0	0.0	43.71227794334531	0.0	80.81471865044136	0.0	0.0	0.0	0.0	0.0	0.0	9.764803192637556	0.0	0.680282351952094	0.0	38.31862913418253	0.0	24.83971799368803	22.69876119165258	0.0	0.0	0.0	0.0	0.0	60.11441070829059	0.0	0.0	0.0	0.0	32.7749594590139	22.544792359813353	0.0	0.0	0.0	0	0.0	43.837235733799965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5376523648411413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	54.03522496876967	0.0	74.6010994203439	0.0	0.0	149.79899970219958	0.0	0.0	0.0	20.807693053568073	160.57948382559937	0.0	0	0.0	0.0	0.0	0.0	0	0.0	136.45442352321433	0.0	0.0	339.99279388890295	1637.5388500432475	10.070399257797451	0.0	28.164104803365543	0	0.0	0.0	0.0	63.36540808596399	0.0	0.0	25.116546742063022	0.0	0.0	0.0	665.0023320800533	0.0	0.0	151.18697133091052	665.5041418482149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rifampicin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.279509713822505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	449.91786752621994	0.0	203.5099716643753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9892463846894135	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	90.43876002671922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	166.87348887414163	0.0	0.0	0.0	0.0	62.783404286951296	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1080829445027804	0.0	0.0	52.12998275672865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4439598114217365	0.0	379.0109113956629	0.0	0.0	0.0	10893.506453871249	0.0	0.0	0.0
trimethoprim	12.925516886023868	44.751344768228506	547.0519346053632	27.475573940011586	108.51259206124574	0.0	72.14737809778379	25.940748934238382	876.8952581809765	0.0	0.0	8.29774663642311	1608.3464219010025	2.0779533659627596	44.364982707318454	6842.333926368755	701.1208492950446	983.8429930705719	320.6457958789013	5657.155236543809	19.71115096547131	4.9026293203060405	0.0	202.15365733822264	1263.6394285393926	0.0	1.061521587591305	53.05365672619925	58.90721105245514	0.0	461.91106084749424	0.0	17.61870669707303	21.1356060129531	0	7727.737289546556	87.19904371163526	0.0	213.67769929925677	188.43014879046603	12.484247052310266	796.6720427303213	1062.6626939214748	86.70397151489651	16.884249923105447	15.769278303136128	0.0	154.29515528566517	0.0	6.424996812055136	136.76521149600705	28.08739695502072	0	3.7332197837203918	3801.261732767128	206.6705279634465	7972.36656354004	8423.941963795618	0.0	863.3988690792107	0.0	160.0837730219211	358.9362362954738	0.0	137.9477648037484	3707.615749315402	0	549.9680835188865	1.545019707383001	42107.75012723089	1479.8539012395386	0	0.0	12.80484392989972	0.0	4.741068908555728	0.0	4.939371478974186	84.843794516212	0.0	0.0	0	50575.67672265132	22.27669021491036	232.92359390604943	1117.2579070339787	573.5198638711033	215.4605441915245	86.40873215890844	62.20976810313583	3.474996179348847	5269.369350937147	300.782946303796	691.3326097247913	968.6303032018095	0.0	0.0	60.61036190166743	0.0	150.12622165697357	8.051214372715052	881.6990675625422	0.0	0.0	3146.337703051067	1071.8598076332235	7.1830999472329475	0.0	0.0
beta-lactam	30328.345854685776	2926.1795781518463	31905.675438175324	40310.052125920294	7092.272254671121	1373.657601870234	27327.353578522034	297009.8041450478	13735.254914139618	22172.42142934037	5477.086778620603	1142.6884189304699	3265.377438654003	2659.60915758647	18415.221412574276	20128.826706045642	2369.626181411943	12428.175307446067	14781.866872276445	9746.751514768572	18510.61816119821	11962.00519735711	17446.400884699382	11610.20636135423	19832.170520259668	18467.625751915333	18734.72432255577	2407.6504912634173	15706.955370511147	40737.55188021873	16758.550136754733	8484.01573429123	424.92174975293784	13275.524844374733	0	24229.95898749625	37255.18019356965	16113.39500054261	4063.4636947374815	1858.9159379444836	8147.236496941804	12658.185278891775	23215.533287219434	4879.769365226413	27030.12142416406	35967.8689834374	3370.9829122863034	410.51744416338823	12207.132091859197	1323.9070152581314	47228.83249771789	68451.24463493073	0	36416.67838221974	72299.95104175259	5780.764480583628	38201.232722058594	71650.73192450475	7197.716745549268	3184.215679123453	11352.248183126123	1238.3329324474714	3559.89545588348	7130.209937800285	1408.4263100288501	39675.91801131325	0	8082.947272939232	24516.93721824635	175370.39415922412	6757.384554280552	0	10985.057745041959	20796.0324481311	6005.249879534954	2839.6050085795914	85325.51959275242	8894.314366269846	4265.789514144737	5489.672965791023	7572.233788370976	0	165494.2426095375	680.305775736771	929.6652276076419	5999.480141211659	4960.258083964606	3444.3505833344843	1335.8332137304646	16007.020975040026	369.94223839728886	5352.41206454744	322.20168274657897	1995.4144194882138	12547.87072703576	10861.713552308527	53595.44504757713	26364.070923461048	29160.382946782895	29873.636273688473	12286.889436886133	19143.948863363894	26589.01718575753	18368.512493883223	50410.95624724071	83861.85736101889	206.4629344168155	12258.045622958449	19373.249964135757
aminoglycoside	1494.9400083214775	1816.144936148025	2216.1588673137367	1351.5868111174339	218.62066182756175	83.49649940926227	567.9664948400844	2013.2972662394272	5358.785872152701	11.337326700120332	0.0	466.97275843947193	16562.91638936549	580.348587703096	320.22556605786673	25476.103497635137	4414.789901157398	2470.497994157257	7835.197797679696	29882.101033506497	206.4107168762729	100.33517151361443	32.61384702933702	593.880262866797	21294.336889659153	823.5178905020925	42.285026827599125	1878.8809875724735	1082.1977746841906	1238.6088313152557	1785.7709208070867	3.6463460057834696	1123.4565988690117	1479.4563703781075	0	27825.40280462412	913.2240215929115	344.81962590036153	562.1160132241562	1718.8558073986999	912.878249806884	18199.42690011971	2949.278048570416	4174.413573102783	2267.640939090774	339.2571643616628	298.4514751470868	159.16016168628602	537.496464074693	207.29520318862714	7949.593256745638	906.6052014201985	0	474.29730675278176	24882.603235999868	1319.8381371920177	21859.582139611197	125566.02227164998	59.69109238901325	14975.86810968982	606.3313164684208	1102.7439727787423	1703.2387076040002	408.3280066449805	1716.0396371559398	16784.13804744364	0	4146.728957260287	75.35557726384269	233725.9647791632	17746.746954457732	0	77.65379184666844	66.13984966547021	434.7131951140827	54.78729153120225	1332.476177773819	575.6719854661583	495.8983682043589	17.75520434036409	1120.5160066574851	0	207900.331855984	5084.430684851683	1956.2085830229078	16780.835821172586	4644.880804741324	1223.701746873015	34606.283910901	147.7481992449476	594.2423578330987	28771.90144667358	527.7769151590836	6286.618123687188	2261.7515441176683	256.5858884873167	2730.7999231062504	78.6532441613512	579.9422835814889	1254.353791189134	469.76818106185874	23783.127340127194	117.91158445212834	87.91800238031111	37452.06262840033	109437.7736797487	88.21906536833619	183.4050584589214	944.1069115067068
macrolide	3824.0355643055555	15999.7727781036	13151.374637170833	20296.081325303916	949.8835819102005	2670.57979877147	2367.2686865099886	100793.84442088287	17847.087383321945	51638.76529131976	0.0	6585.2669841864035	33129.14152416592	1252.1469879161375	9460.520870357881	47413.8053526045	13754.536680186726	14558.073536771017	10441.890416228594	155208.92324497632	15270.433084329845	1231.8050716503813	17738.386674285484	7149.035483759101	43709.86137073678	30507.97313551345	3812.6549052889204	32421.402721136696	22709.48633045213	64821.55546240449	17587.108255581847	1489.4555705759353	154.8094653160411	2928.6122329458285	0	93.30076741728206	20988.563674722605	22420.21963340376	20744.247370075118	7115.24550051728	35108.259449104546	28597.31339644233	31153.679206179495	13024.935529921253	4024.080922897713	10451.097580577076	28977.854512754275	8112.143285492376	9877.278584565054	7902.3819407405545	12525.568081253527	114620.61119074242	0	18976.550172285475	42386.62124648141	13192.327240562696	37151.85324394525	29137.172343577928	12037.861973862893	15720.827985673657	18503.025496722614	12949.814489264585	31339.10990087695	39524.64653182313	5073.260758052846	40057.16006905698	0	269905.4144002708	33738.23499909624	152531.91644533785	150551.61654536397	0	7373.719085732935	748.2141261184205	2028.7830603359223	9170.304761780195	4387.443478403419	1703.4021651131766	3033.8018301942247	3715.944742742303	25613.087108207783	0	68.6278532164656	194738.51616814235	17486.749900178263	27658.306532424514	9174.512129582914	8714.195676443891	3072.1701445862977	3763.918475784055	17362.54244388486	35221.523004190465	6233.911882897534	11252.10248546464	8398.244361423995	1249.8312759243274	19513.175189904607	29720.6743293258	13593.93489546863	24907.815422431882	25877.871292841537	11455.555381318894	14697.341557941047	20145.558502255477	57644.72181858732	75358.22538817971	388.7309537289545	1235.6002526770203	52426.056571247806
phenicol	8.553235402575712	17.294805947780617	40.213957014444006	0.0	125.49483454363953	86.97552021798153	23.080205630478005	0.0	1894.1705544395668	6.118796487800019	0.0	31.35060307582132	21.20080964773113	0.0	9.21240078075465	1326.467411194962	525.7159020452546	6.1237892405624335	1735.6087123266311	171.2030565739607	4.687779072567542	2.813508907898079	19.255484471136825	0.0	1948.7625243984019	0.0	0.5613816088223249	528.3350704025796	3.956733367282277	0.0	793.6257831529186	3.6463460057834696	0.0	57.718979775054	0	1372.1737492908615	33.536683075038226	0.0	204.52511164203065	119.33240422945481	8.460111774319953	7.317403862234531	582.128728012746	98.2773656906873	79.57961262735373	5.8148608897905465	0.0	0.0	458.8303146839951	18.445389199444005	432.6584824022852	25.291795854767877	0	4.207522297225851	2125.2007928668813	337.56592275256907	11.784475264016026	4850.55494248534	12.802932681059707	2210.9786795458017	0.0	21.060967140250828	5.980118668282567	0.0	177.41848740241608	9.85716830920249	0	419.6472095877897	0.0	12135.776501691465	10.146704434955396	0	4.037157704689089	4.264200735100448	0.0	2.857244254857341	3003.5108089930322	0.0	119.6513799481646	0.0	0.0	0	25631.712508521363	363.3542186673987	5.120761484270331	641.6379764056798	1722.056115565776	27.352082959280935	44.883360786091025	0.0	45.42103068458861	2455.946141417892	311.3364021861988	885.2883517601873	493.8067028009053	0.0	19.965124255446444	14.418708937466143	1.7503020680060475	0.0	2.530381659996159	363.8487354777267	5.4614145545281705	0.0	2744.543542346186	37538.027870038844	0.0	0.0	0.0
fosfomycin	123.36755051285779	8.845867960176315	168.26996789925533	17.647854986605417	0.0	99.40059453483603	384.33662383615865	0.0	1.4947082353470402	159.07409797345736	0.0	38.28168745778752	210.33898713475568	20.40847055856282	1.5354001301257751	0.0	67.9956011068676	0.0	1640.8471098853015	95.3692676937334	25.205091559723442	0.0	0.0	0.0	0.0	0.0	60.91319133479146	15.793853569181895	1.0951146215599235	0.0	23.91754318265913	0.0	0.0	0.0	0	6608.486394752064	148.65648089588373	0.0	4.74105866559917	102.60632638418625	0.0	170.28854845217322	54.82222801738793	1240.2583359825842	5.714509879740461	0.0	0.0	0.0	0.0	0.0	31.33331409033057	0.0	0	51.45198694893327	1002.6254974884357	88.25904341483135	4344.3266238119295	3845.7239753105873	0.0	0.0	0.0	0.0	13.154160325958786	0.0	19.269538059071927	288.0765137090031	0	199.0360683211208	1.393050555837132	10.96667632830851	0.0	0	1.797932495574461	301.54989554354364	0.0	109.41284122496387	0.0	0.0	454.9279663495126	0.0	0.0	0	5372.8073737392015	0.0	0.0	580.3072923694381	133.15665113437962	1.6939359209755043	25.763577220195796	453.97104779712237	0.0	3.962189449468198	0.0	0.0	3877.619564426851	0.0	0.0	0.0	0.0	349.3795038120973	53.40764569254188	613.8462890685743	0.0	19.088402905079306	958.9509180962755	6.134137453322665	0.0	5.308111170744791	0.0
sulphonamide	196.95276464026938	295.46072539438177	1423.2988673234167	780.587913370179	278.33329320327243	583.9919592826486	66.07400650795381	18241.858593979236	4281.219832523075	20.10415380199264	0.0	395.8961503727495	13763.532073115122	494.9892280569778	283.73085621691484	15992.644490971461	951.5020055004701	2715.1438484599566	3312.2264966799994	9207.500750753326	187.26361774576682	0.0	21.401825855493513	198.23835311749042	5465.667280540321	273.90999578546393	17.172830062380857	1109.732151376019	151.10822982255087	516.8026114822932	1210.4102795246001	5.797959883247297	1542.6824598171022	43.95405467835923	0	20239.93894223154	398.54943210419225	0.0	228.39096484199717	2116.026106152856	455.84084019106837	1709.791720908586	4033.7685549609096	1345.6719864451993	422.3613992889265	6.226254228454194	0.0	85.85066238969132	169.81129810636142	108.69916946530202	4576.390047164289	7632.878520328022	0	355.3835160017616	5681.82031241176	847.5098019090307	2252.9671214726854	8535.92879954237	641.2883347805922	8770.39175739384	0.0	379.6642886102581	2902.5824658456745	0.0	810.6054237799484	11541.040115282269	0	0.0	43.58465901721975	132960.16065867635	21365.95997025308	0	0.0	11.82951282759221	0.0	19.629623672417974	53.24804202428671	21.27386953695396	673.558384662388	0.0	426.3990379392494	0	64175.546502888195	184.32687537493393	806.7129605133498	87.36243268769157	3123.4285020899097	91.73391199001085	22992.609599450127	0.0	153.74817165509148	17035.47529184308	638.9401382453352	3175.4945178557277	0.4944465748389322	4.758671884513905	0.0	56.81990693045551	13.340140085883927	838.7252902117469	196.23946028637522	3858.234432728145	81.07008343507006	170.9543077640346	7722.314497698278	45152.28512136078	28.999169632278008	21.44363119929316	0.0
nitroimidazole	0.0	0.0	0.0	623.7072701365281	0.0	0.0	0.0	0.0	2200.9399341909634	565.7900299826864	0.0	0.0	0.0	2037.4391029200603	238.46178205183668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.08542700093132	0.0	0.0	0	0.0	70.75483662297538	0.0	0.0	0.0	0.0	0.0	0.0	1503.6653567612566	0.0	0.0	0.0	0.0	2.0076586798109526	0.0	237.89088921157085	0.0	0	0.0	12.797816439971763	6711.776344052464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	18.636777847222554	0.0	0.0	0	0.0	0.0	0.0	9.260886088248762	53248.4927633777	0.0	0.0	0.0	2.1338184338469546	40.282259402926684	0.0	5.075555042270314	0.659262099785243	0.0	709.497805071354	0.0	1350.8647118547726	592.2040176593397	28.588446639379683	0.0	272.2073144224553	0.0	0.0	0.0	0.0	11.733719430067433	0.0
pseudomonicacid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1607.4420902091124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.7183422220604803	0.0	0.0	51395.34777844648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	364.2175373610689	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.1822713748274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9294147656549492	0.0	0.0	0.0
